ano,mes,total
2003,janeiro,6500
2003,fevereiro,2370
2003,março,3958
2003,abril,3431
2003,maio,11297
2003,junho,28632
2003,julho,47379
2003,agosto,75788
2003,setembro,120863
2003,outubro,67745
2003,novembro,33486
2003,dezembro,20913
2004,janeiro,3956
2004,fevereiro,1901
2004,março,2366
2004,abril,2494
2004,maio,10545
2004,junho,28365
2004,julho,40150
2004,agosto,77547
2004,setembro,143967
2004,outubro,50949
2004,novembro,42417
2004,dezembro,28401
2005,janeiro,4288
2005,fevereiro,1498
2005,março,2053
2005,abril,4174
2005,maio,10621
2005,junho,21918
2005,julho,36749
2005,agosto,109927
2005,setembro,115874
2005,outubro,95842
2005,novembro,40259
2005,dezembro,13670
2006,janeiro,2584
2006,fevereiro,1610
2006,março,1637
2006,abril,1993
2006,maio,7256
2006,junho,18727
2006,julho,35527
2006,agosto,72301
2006,setembro,85551
2006,outubro,29248
2006,novembro,22522
2006,dezembro,15222
2007,janeiro,4176
2007,fevereiro,3540
2007,março,2994
2007,abril,2617
2007,maio,10565
2007,junho,28260
2007,julho,51519
2007,agosto,120412
2007,setembro,204490
2007,outubro,103065
2007,novembro,47706
2007,dezembro,9043
2008,janeiro,2242
2008,fevereiro,1074
2008,março,1419
2008,abril,1525
2008,maio,5240
2008,junho,11512
2008,julho,28760
2008,agosto,48675
2008,setembro,69605
2008,outubro,83176
2008,novembro,37729
2008,dezembro,11372
2009,janeiro,2113
2009,fevereiro,1516
2009,março,1845
2009,abril,3487
2009,maio,9024
2009,junho,9900
2009,julho,18021
2009,agosto,31285
2009,setembro,46044
2009,outubro,27514
2009,novembro,30187
2009,dezembro,12078
2010,janeiro,2096
2010,fevereiro,2045
2010,março,1400
2010,abril,3918
2010,maio,11740
2010,junho,26381
2010,julho,54631
2010,agosto,132724
2010,setembro,185502
2010,outubro,66904
2010,novembro,17294
2010,dezembro,5481
2011,janeiro,291
2011,fevereiro,1137
2011,março,388
2011,abril,1603
2011,maio,5232
2011,junho,12644
2011,julho,25848
2011,agosto,45912
2011,setembro,85896
2011,outubro,27497
2011,novembro,10562
2011,dezembro,10740
2012,janeiro,3784
2012,fevereiro,916
2012,março,1915
2012,abril,3239
2012,maio,11132
2012,junho,20235
2012,julho,33372
2012,agosto,85997
2012,setembro,118244
2012,outubro,83981
2012,novembro,19513
2012,dezembro,9472
2013,janeiro,4774
2013,fevereiro,953
2013,março,1780
2013,abril,1422
2013,maio,6381
2013,junho,10772
2013,julho,18437
2013,agosto,37007
2013,setembro,61807
2013,outubro,30061
2013,novembro,13051
2013,dezembro,7136
2014,janeiro,3073
2014,fevereiro,1376
2014,março,1422
2014,abril,1695
2014,maio,5461
2014,junho,14576
2014,julho,24994
2014,agosto,66020
2014,setembro,69212
2014,outubro,62580
2014,novembro,17955
2014,dezembro,9050
2015,janeiro,3940
2015,fevereiro,1898
2015,março,1001
2015,abril,2094
2015,maio,4330
2015,junho,12594
2015,julho,18698
2015,agosto,54741
2015,setembro,95934
2015,outubro,85339
2015,novembro,44029
2015,dezembro,29928
2016,janeiro,6743
2016,fevereiro,1800
2016,março,4078
2016,abril,4769
2016,maio,9161
2016,junho,17141
2016,julho,36009
2016,agosto,63824
2016,setembro,65809
2016,outubro,39653
2016,novembro,24680
2016,dezembro,7303
2017,janeiro,1825
2017,fevereiro,901
2017,março,1011
2017,abril,1538
2017,maio,5208
2017,junho,9518
2017,julho,22842
2017,agosto,53465
2017,setembro,110810
2017,outubro,63028
2017,novembro,22125
2017,dezembro,14722
2018,janeiro,3028
2018,fevereiro,1380
2018,março,2443
2018,abril,1643
2018,maio,5934
2018,junho,11437
2018,julho,20351
2018,agosto,30298
2018,setembro,57463
2018,outubro,21450
2018,novembro,12058
2018,dezembro,3496
2019,janeiro,4416
2019,fevereiro,2780
2019,março,6183
2019,abril,3061
2019,maio,5112
2019,junho,12697
2019,julho,23578
2019,agosto,73500
2019,setembro,92930
2019,outubro,50140
2019,novembro,30131
2019,dezembro,12951
2020,janeiro,3164
2020,fevereiro,3421
2020,março,3838
2020,abril,13385
2020,maio,5059
2020,junho,12948
2020,julho,20591
2020,agosto,58912
2020,setembro,105167
2020,outubro,67429
2020,novembro,11763
2020,dezembro,6463
2021,janeiro,1671
2021,fevereiro,1210
2021,março,1710
2021,abril,2258
2021,maio,9630
2021,junho,15705
2021,julho,26864
2021,agosto,61931
2021,setembro,96260
2021,outubro,37579
2021,novembro,15357
2021,dezembro,4233
