ano,mes,Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,total,mes_nome
2003,1,3528,2206,157,436,1.0,172.0,6500,janeiro
2003,2,1960,56,214,107,3.0,30.0,2370,fevereiro
2003,3,3295,80,258,286,1.0,38.0,3958,março
2003,4,1179,440,1322,421,13.0,56.0,3431,abril
2003,5,2033,248,5200,3321,316.0,179.0,11297,maio
2003,6,5810,401,16779,5218,164.0,260.0,28632,junho
2003,7,10625,957,25598,7995,1504.0,700.0,47379,julho
2003,8,25943,4978,35140,7748,383.0,1596.0,75788,agosto
2003,9,28643,17360,62250,9255,86.0,3269.0,120863,setembro
2003,10,11775,24507,24521,5826,6.0,1110.0,67745,outubro
2003,11,10518,19483,2461,550,6.0,468.0,33486,novembro
2003,12,7858,11332,1240,444,5.0,34.0,20913,dezembro
2004,1,2872,563,180,73,13.0,255.0,3956,janeiro
2004,2,1553,9,89,75,10.0,165.0,1901,fevereiro
2004,3,1309,12,649,211,55.0,130.0,2366,março
2004,4,697,7,1008,418,281.0,83.0,2494,abril
2004,5,3275,54,6963,122,84.0,47.0,10545,maio
2004,6,7665,143,16368,3163,553.0,473.0,28365,junho
2004,7,13245,365,23581,2045,349.0,565.0,40150,julho
2004,8,30179,2015,38255,4545,155.0,2398.0,77547,agosto
2004,9,46587,4178,79405,3371,18.0,10408.0,143967,setembro
2004,10,16148,6987,23572,1168,51.0,3023.0,50949,outubro
2004,11,20035,14213,7056,791,10.0,312.0,42417,novembro
2004,12,13442,12743,1558,415,10.0,233.0,28401,dezembro
2005,1,2023,1638,177,428,20.0,2.0,4288,janeiro
2005,2,855,85,331,144,13.0,70.0,1498,fevereiro
2005,3,806,47,401,340,362.0,97.0,2053,março
2005,4,1381,1,1662,853,32.0,245.0,4174,abril
2005,5,2162,53,5009,2609,72.0,716.0,10621,maio
2005,6,3761,286,11483,2380,320.0,3688.0,21918,junho
2005,7,12504,817,18052,2296,194.0,2886.0,36749,julho
2005,8,50315,1900,41231,3876,90.0,12515.0,109927,agosto
2005,9,51457,6929,50466,1372,17.0,5633.0,115874,setembro
2005,10,16893,25909,46086,5569,8.0,1377.0,95842,outubro
2005,11,14495,19115,5870,562,13.0,204.0,40259,novembro
2005,12,4206,8328,922,160,15.0,39.0,13670,dezembro
2006,1,1261,542,619,136,21.0,5.0,2584,janeiro
2006,2,535,412,144,464,19.0,36.0,1610,fevereiro
2006,3,826,89,322,305,78.0,17.0,1637,março
2006,4,868,18,603,397,99.0,8.0,1993,abril
2006,5,1055,7,2862,2813,435.0,84.0,7256,maio
2006,6,2206,40,9573,6170,235.0,503.0,18727,junho
2006,7,5201,247,20378,8269,536.0,896.0,35527,julho
2006,8,25061,1236,35778,7322,410.0,2494.0,72301,agosto
2006,9,37450,7006,35636,3012,20.0,2427.0,85551,setembro
2006,10,9673,9836,8810,525,,404.0,29248,outubro
2006,11,8229,10752,2596,392,16.0,537.0,22522,novembro
2006,12,4951,9307,788,168,1.0,7.0,15222,dezembro
2007,1,2692,1152,238,91,,3.0,4176,janeiro
2007,2,3277,16,119,121,1.0,6.0,3540,fevereiro
2007,3,1765,8,905,297,1.0,18.0,2994,março
2007,4,432,26,1508,528,25.0,98.0,2617,abril
2007,5,1329,271,7944,788,63.0,170.0,10565,maio
2007,6,2866,1162,18839,4578,336.0,479.0,28260,junho
2007,7,5238,2717,38635,3589,407.0,933.0,51519,julho
2007,8,37397,3097,72717,3911,110.0,3180.0,120412,agosto
2007,9,60887,8637,118753,5560,78.0,10575.0,204490,setembro
2007,10,22883,14771,56652,5930,3.0,2826.0,103065,outubro
2007,11,14022,18434,11951,2930,11.0,358.0,47706,novembro
2007,12,1799,6110,877,200,4.0,53.0,9043,dezembro
2008,1,1410,487,207,111,19.0,8.0,2242,janeiro
2008,2,721,58,88,159,33.0,15.0,1074,fevereiro
2008,3,798,40,267,279,13.0,22.0,1419,março
2008,4,638,11,516,204,122.0,34.0,1525,abril
2008,5,508,21,2377,1861,400.0,73.0,5240,maio
2008,6,1693,81,7813,1651,129.0,145.0,11512,junho
2008,7,4507,150,13691,9030,649.0,733.0,28760,julho
2008,8,17498,1329,25652,2681,40.0,1475.0,48675,agosto
2008,9,18347,4521,39781,2963,10.0,3983.0,69605,setembro
2008,10,15520,20322,40038,4218,10.0,3068.0,83176,outubro
2008,11,9499,18262,8136,1359,7.0,466.0,37729,novembro
2008,12,3553,5225,892,451,20.0,1231.0,11372,dezembro
2009,1,412,588,258,200,43.0,612.0,2113,janeiro
2009,2,991,43,154,135,10.0,183.0,1516,fevereiro
2009,3,765,325,295,336,5.0,119.0,1845,março
2009,4,512,67,599,1259,297.0,753.0,3487,abril
2009,5,1870,18,2014,1827,1248.0,2047.0,9024,maio
2009,6,1689,77,5229,2051,176.0,678.0,9900,junho
2009,7,2264,371,12868,1567,207.0,744.0,18021,julho
2009,8,5620,713,19084,4022,201.0,1645.0,31285,agosto
2009,9,10748,6672,24263,904,5.0,3452.0,46044,setembro
2009,10,12340,5757,5637,1042,1.0,2737.0,27514,outubro
2009,11,14669,11063,3399,259,,797.0,30187,novembro
2009,12,5131,6115,553,225,12.0,42.0,12078,dezembro
2010,1,1358,292,172,220,8.0,46.0,2096,janeiro
2010,2,1295,124,287,255,1.0,83.0,2045,fevereiro
2010,3,643,70,438,158,14.0,77.0,1400,março
2010,4,659,20,2456,456,105.0,222.0,3918,abril
2010,5,1782,389,8749,661,95.0,64.0,11740,maio
2010,6,2305,376,19283,3048,79.0,1290.0,26381,junho
2010,7,5467,1797,40451,5417,141.0,1358.0,54631,julho
2010,8,43187,4149,77548,5027,271.0,2542.0,132724,agosto
2010,9,39324,10813,123410,4932,34.0,6989.0,185502,setembro
2010,10,10948,21834,28644,2386,33.0,3059.0,66904,outubro
2010,11,4072,9894,2501,305,5.0,517.0,17294,novembro
2010,12,1774,1197,886,103,25.0,1496.0,5481,dezembro
2011,1,68,22,73,41,3.0,84.0,291,janeiro
2011,2,928,14,101,90,,4.0,1137,fevereiro
2011,3,97,13,173,98,7.0,,388,março
2011,4,484,51,896,115,55.0,2.0,1603,abril
2011,5,981,92,3358,644,144.0,13.0,5232,maio
2011,6,1388,690,9115,1234,158.0,59.0,12644,junho
2011,7,2023,558,15969,6783,253.0,262.0,25848,julho
2011,8,6630,2451,32000,3992,144.0,695.0,45912,agosto
2011,9,13333,4003,61204,5195,44.0,2117.0,85896,setembro
2011,10,5110,9492,10714,1170,8.0,1003.0,27497,outubro
2011,11,2991,4894,820,228,11.0,1618.0,10562,novembro
2011,12,6524,2411,565,123,3.0,1114.0,10740,dezembro
2012,1,2356,917,131,96,47.0,237.0,3784,janeiro
2012,2,327,39,268,107,38.0,137.0,916,fevereiro
2012,3,335,274,742,363,44.0,157.0,1915,março
2012,4,368,782,1578,423,27.0,61.0,3239,abril
2012,5,1223,1743,5964,1249,761.0,192.0,11132,maio
2012,6,2566,1989,14039,1042,440.0,159.0,20235,junho
2012,7,2461,2704,25380,1637,349.0,841.0,33372,julho
2012,8,15856,3840,58899,2733,236.0,4433.0,85997,agosto
2012,9,18648,7040,84109,3541,13.0,4893.0,118244,setembro
2012,10,8323,17685,52533,3700,6.0,1734.0,83981,outubro
2012,11,11893,4495,2347,534,3.0,241.0,19513,novembro
2012,12,2510,5028,1461,286,6.0,181.0,9472,dezembro
2013,1,3967,313,190,173,11.0,120.0,4774,janeiro
2013,2,114,91,427,184,35.0,102.0,953,fevereiro
2013,3,652,185,387,287,69.0,200.0,1780,março
2013,4,295,240,612,192,21.0,62.0,1422,abril
2013,5,1366,167,3938,751,61.0,98.0,6381,maio
2013,6,2287,521,7259,604,42.0,59.0,10772,junho
2013,7,1849,769,12698,2671,303.0,147.0,18437,julho
2013,8,6271,1935,25972,2234,165.0,430.0,37007,agosto
2013,9,9103,6688,40526,2582,30.0,2878.0,61807,setembro
2013,10,4323,7512,16287,791,15.0,1133.0,30061,outubro
2013,11,3166,6701,1954,208,17.0,1005.0,13051,novembro
2013,12,2616,3272,754,139,14.0,341.0,7136,dezembro
2014,1,2354,215,380,63,3.0,58.0,3073,janeiro
2014,2,981,15,142,155,9.0,74.0,1376,fevereiro
2014,3,1001,41,230,128,14.0,8.0,1422,março
2014,4,343,126,969,122,36.0,99.0,1695,abril
2014,5,1094,209,3682,411,57.0,8.0,5461,maio
2014,6,2177,757,10303,1236,31.0,72.0,14576,junho
2014,7,2590,1356,19028,1535,376.0,109.0,24994,julho
2014,8,15773,2165,44321,3276,217.0,268.0,66020,agosto
2014,9,11967,5923,47939,2856,6.0,521.0,69212,setembro
2014,10,9391,8193,39817,4391,13.0,775.0,62580,outubro
2014,11,8257,6105,3326,91,,176.0,17955,novembro
2014,12,5396,2954,619,58,,23.0,9050,dezembro
2015,1,2137,706,721,260,4.0,112.0,3940,janeiro
2015,2,1474,59,149,145,2.0,69.0,1898,fevereiro
2015,3,338,52,347,221,24.0,19.0,1001,março
2015,4,552,331,785,238,144.0,44.0,2094,abril
2015,5,514,361,2352,435,614.0,54.0,4330,maio
2015,6,1434,975,8156,1262,260.0,507.0,12594,junho
2015,7,2589,1325,13887,507,111.0,279.0,18698,julho
2015,8,15365,3623,31122,2498,148.0,1985.0,54741,agosto
2015,9,21624,9797,59355,2650,30.0,2478.0,95934,setembro
2015,10,16010,10872,54654,2734,12.0,1057.0,85339,outubro
2015,11,17602,12064,12162,1796,,405.0,44029,novembro
2015,12,14038,7378,6816,833,1.0,862.0,29928,dezembro
2016,1,6082,393,114,131,6.0,17.0,6743,janeiro
2016,2,1005,34,572,133,19.0,37.0,1800,fevereiro
2016,3,2948,58,679,374,13.0,6.0,4078,março
2016,4,911,79,2748,982,8.0,41.0,4769,abril
2016,5,1585,334,6205,873,61.0,103.0,9161,maio
2016,6,2175,603,11257,2276,671.0,159.0,17141,junho
2016,7,4514,1428,21514,7174,323.0,1056.0,36009,julho
2016,8,15462,2583,40110,3175,328.0,2166.0,63824,agosto
2016,9,13415,3732,41613,2347,46.0,4656.0,65809,setembro
2016,10,7007,10305,18874,839,34.0,2594.0,39653,outubro
2016,11,7131,10512,6515,189,4.0,329.0,24680,novembro
2016,12,2904,3248,941,115,14.0,81.0,7303,dezembro
2017,1,616,442,225,161,7.0,374.0,1825,janeiro
2017,2,343,26,262,189,12.0,69.0,901,fevereiro
2017,3,131,103,574,111,5.0,87.0,1011,março
2017,4,309,81,1021,74,23.0,30.0,1538,abril
2017,5,898,179,3727,200,90.0,114.0,5208,maio
2017,6,1375,240,6619,830,283.0,171.0,9518,junho
2017,7,4534,593,11181,4763,942.0,829.0,22842,julho
2017,8,17630,1648,28321,3516,188.0,2162.0,53465,agosto
2017,9,34057,3148,65019,3808,15.0,4763.0,110810,setembro
2017,10,9596,12303,37656,2425,12.0,1036.0,63028,outubro
2017,11,12834,6556,2437,99,12.0,187.0,22125,novembro
2017,12,8917,4385,1310,84,19.0,7.0,14722,dezembro
2018,1,2133,637,192,27,17.0,22.0,3028,janeiro
2018,2,1260,14,34,51,21.0,,1380,fevereiro
2018,3,1388,53,633,330,32.0,7.0,2443,março
2018,4,617,28,603,308,76.0,11.0,1643,abril
2018,5,896,149,3354,1352,130.0,53.0,5934,maio
2018,6,1605,615,7087,1951,93.0,86.0,11437,junho
2018,7,3606,1309,10910,4123,85.0,318.0,20351,julho
