ano,mes,mes_nome,bioma,total
2003,1,janeiro,amazonia,3528.0
2003,2,fevereiro,amazonia,5488.0
2003,3,março,amazonia,8783.0
2003,4,abril,amazonia,9962.0
2003,5,maio,amazonia,11995.0
2003,6,junho,amazonia,17805.0
2003,7,julho,amazonia,28430.0
2003,8,agosto,amazonia,54373.0
2003,9,setembro,amazonia,83016.0
2003,10,outubro,amazonia,94791.0
2003,11,novembro,amazonia,105309.0
2003,12,dezembro,amazonia,113167.0
2004,1,janeiro,amazonia,2872.0
2004,2,fevereiro,amazonia,4425.0
2004,3,março,amazonia,5734.0
2004,4,abril,amazonia,6431.0
2004,5,maio,amazonia,9706.0
2004,6,junho,amazonia,17371.0
2004,7,julho,amazonia,30616.0
2004,8,agosto,amazonia,60795.0
2004,9,setembro,amazonia,107382.0
2004,10,outubro,amazonia,123530.0
2004,11,novembro,amazonia,143565.0
2004,12,dezembro,amazonia,157007.0
2005,1,janeiro,amazonia,2023.0
2005,2,fevereiro,amazonia,2878.0
2005,3,março,amazonia,3684.0
2005,4,abril,amazonia,5065.0
2005,5,maio,amazonia,7227.0
2005,6,junho,amazonia,10988.0
2005,7,julho,amazonia,23492.0
2005,8,agosto,amazonia,73807.0
2005,9,setembro,amazonia,125264.0
2005,10,outubro,amazonia,142157.0
2005,11,novembro,amazonia,156652.0
2005,12,dezembro,amazonia,160858.0
2006,1,janeiro,amazonia,1261.0
2006,2,fevereiro,amazonia,1796.0
2006,3,março,amazonia,2622.0
2006,4,abril,amazonia,3490.0
2006,5,maio,amazonia,4545.0
2006,6,junho,amazonia,6751.0
2006,7,julho,amazonia,11952.0
2006,8,agosto,amazonia,37013.0
2006,9,setembro,amazonia,74463.0
2006,10,outubro,amazonia,84136.0
2006,11,novembro,amazonia,92365.0
2006,12,dezembro,amazonia,97316.0
2007,1,janeiro,amazonia,2692.0
2007,2,fevereiro,amazonia,5969.0
2007,3,março,amazonia,7734.0
2007,4,abril,amazonia,8166.0
2007,5,maio,amazonia,9495.0
2007,6,junho,amazonia,12361.0
2007,7,julho,amazonia,17599.0
2007,8,agosto,amazonia,54996.0
2007,9,setembro,amazonia,115883.0
2007,10,outubro,amazonia,138766.0
2007,11,novembro,amazonia,152788.0
2007,12,dezembro,amazonia,154587.0
2008,1,janeiro,amazonia,1410.0
2008,2,fevereiro,amazonia,2131.0
2008,3,março,amazonia,2929.0
2008,4,abril,amazonia,3567.0
2008,5,maio,amazonia,4075.0
2008,6,junho,amazonia,5768.0
2008,7,julho,amazonia,10275.0
2008,8,agosto,amazonia,27773.0
2008,9,setembro,amazonia,46120.0
2008,10,outubro,amazonia,61640.0
2008,11,novembro,amazonia,71139.0
2008,12,dezembro,amazonia,74692.0
2009,1,janeiro,amazonia,412.0
2009,2,fevereiro,amazonia,1403.0
2009,3,março,amazonia,2168.0
2009,4,abril,amazonia,2680.0
2009,5,maio,amazonia,4550.0
2009,6,junho,amazonia,6239.0
2009,7,julho,amazonia,8503.0
2009,8,agosto,amazonia,14123.0
2009,9,setembro,amazonia,24871.0
2009,10,outubro,amazonia,37211.0
2009,11,novembro,amazonia,51880.0
2009,12,dezembro,amazonia,57011.0
2010,1,janeiro,amazonia,1358.0
2010,2,fevereiro,amazonia,2653.0
2010,3,março,amazonia,3296.0
2010,4,abril,amazonia,3955.0
2010,5,maio,amazonia,5737.0
2010,6,junho,amazonia,8042.0
2010,7,julho,amazonia,13509.0
2010,8,agosto,amazonia,56696.0
2010,9,setembro,amazonia,96020.0
2010,10,outubro,amazonia,106968.0
2010,11,novembro,amazonia,111040.0
2010,12,dezembro,amazonia,112814.0
2011,1,janeiro,amazonia,68.0
2011,2,fevereiro,amazonia,996.0
2011,3,março,amazonia,1093.0
2011,4,abril,amazonia,1577.0
2011,5,maio,amazonia,2558.0
2011,6,junho,amazonia,3946.0
2011,7,julho,amazonia,5969.0
2011,8,agosto,amazonia,12599.0
2011,9,setembro,amazonia,25932.0
2011,10,outubro,amazonia,31042.0
2011,11,novembro,amazonia,34033.0
2011,12,dezembro,amazonia,40557.0
2012,1,janeiro,amazonia,2356.0
2012,2,fevereiro,amazonia,2683.0
2012,3,março,amazonia,3018.0
2012,4,abril,amazonia,3386.0
2012,5,maio,amazonia,4609.0
2012,6,junho,amazonia,7175.0
2012,7,julho,amazonia,9636.0
2012,8,agosto,amazonia,25492.0
2012,9,setembro,amazonia,44140.0
2012,10,outubro,amazonia,52463.0
2012,11,novembro,amazonia,64356.0
2012,12,dezembro,amazonia,66866.0
2013,1,janeiro,amazonia,3967.0
2013,2,fevereiro,amazonia,4081.0
2013,3,março,amazonia,4733.0
2013,4,abril,amazonia,5028.0
2013,5,maio,amazonia,6394.0
2013,6,junho,amazonia,8681.0
2013,7,julho,amazonia,10530.0
2013,8,agosto,amazonia,16801.0
2013,9,setembro,amazonia,25904.0
2013,10,outubro,amazonia,30227.0
2013,11,novembro,amazonia,33393.0
2013,12,dezembro,amazonia,36009.0
2014,1,janeiro,amazonia,2354.0
2014,2,fevereiro,amazonia,3335.0
2014,3,março,amazonia,4336.0
2014,4,abril,amazonia,4679.0
2014,5,maio,amazonia,5773.0
2014,6,junho,amazonia,7950.0
2014,7,julho,amazonia,10540.0
2014,8,agosto,amazonia,26313.0
2014,9,setembro,amazonia,38280.0
2014,10,outubro,amazonia,47671.0
2014,11,novembro,amazonia,55928.0
2014,12,dezembro,amazonia,61324.0
2015,1,janeiro,amazonia,2137.0
2015,2,fevereiro,amazonia,3611.0
2015,3,março,amazonia,3949.0
2015,4,abril,amazonia,4501.0
2015,5,maio,amazonia,5015.0
2015,6,junho,amazonia,6449.0
2015,7,julho,amazonia,9038.0
2015,8,agosto,amazonia,24403.0
2015,9,setembro,amazonia,46027.0
2015,10,outubro,amazonia,62037.0
2015,11,novembro,amazonia,79639.0
2015,12,dezembro,amazonia,93677.0
2016,1,janeiro,amazonia,6082.0
2016,2,fevereiro,amazonia,7087.0
2016,3,março,amazonia,10035.0
2016,4,abril,amazonia,10946.0
2016,5,maio,amazonia,12531.0
2016,6,junho,amazonia,14706.0
2016,7,julho,amazonia,19220.0
2016,8,agosto,amazonia,34682.0
2016,9,setembro,amazonia,48097.0
2016,10,outubro,amazonia,55104.0
2016,11,novembro,amazonia,62235.0
2016,12,dezembro,amazonia,65139.0
2017,1,janeiro,amazonia,616.0
2017,2,fevereiro,amazonia,959.0
2017,3,março,amazonia,1090.0
2017,4,abril,amazonia,1399.0
2017,5,maio,amazonia,2297.0
2017,6,junho,amazonia,3672.0
2017,7,julho,amazonia,8206.0
2017,8,agosto,amazonia,25836.0
2017,9,setembro,amazonia,59893.0
2017,10,outubro,amazonia,69489.0
2017,11,novembro,amazonia,82323.0
2017,12,dezembro,amazonia,91240.0
2018,1,janeiro,amazonia,2133.0
2018,2,fevereiro,amazonia,3393.0
2018,3,março,amazonia,4781.0
2018,4,abril,amazonia,5398.0
2018,5,maio,amazonia,6294.0
2018,6,junho,amazonia,7899.0
2018,7,julho,amazonia,11505.0
2018,8,agosto,amazonia,17553.0
2018,9,setembro,amazonia,30405.0
2018,10,outubro,amazonia,36938.0
2018,11,novembro,amazonia,41827.0
2018,12,dezembro,amazonia,43171.0
2019,1,janeiro,amazonia,2983.0
2019,2,fevereiro,amazonia,4581.0
2019,3,março,amazonia,9860.0
2019,4,abril,amazonia,11773.0
2019,5,maio,amazonia,12585.0
2019,6,junho,amazonia,14348.0
2019,7,julho,amazonia,18629.0
2019,8,agosto,amazonia,43573.0
2019,9,setembro,amazonia,59826.0
2019,10,outubro,amazonia,65192.0
2019,11,novembro,amazonia,70647.0
2019,12,dezembro,amazonia,72450.0
2020,1,janeiro,amazonia,1580.0
2020,2,fevereiro,amazonia,4367.0
2020,3,março,amazonia,6025.0
2020,4,abril,amazonia,7505.0
2020,5,maio,amazonia,8204.0
2020,6,junho,amazonia,10188.0
2020,7,julho,amazonia,13703.0
2020,8,agosto,amazonia,34373.0
2020,9,setembro,amazonia,62311.0
2020,10,outubro,amazonia,74339.0
2020,11,novembro,amazonia,76674.0
2020,12,dezembro,amazonia,77396.0
2021,1,janeiro,amazonia,253.0
2021,2,fevereiro,amazonia,697.0
2021,3,março,amazonia,1038.0
2021,4,abril,amazonia,1378.0
2021,5,maio,amazonia,2400.0
2021,6,junho,amazonia,4982.0
2021,7,julho,amazonia,8333.0
2021,8,agosto,amazonia,26893.0
2021,9,setembro,amazonia,36938.0
2021,10,outubro,amazonia,42778.0
2021,11,novembro,amazonia,44926.0
2021,12,dezembro,amazonia,45585.0
2003,1,janeiro,caatinga,2206.0
2003,2,fevereiro,caatinga,2262.0
2003,3,março,caatinga,2342.0
2003,4,abril,caatinga,2782.0
2003,5,maio,caatinga,3030.0
2003,6,junho,caatinga,3431.0
2003,7,julho,caatinga,4388.0
2003,8,agosto,caatinga,9366.0
2003,9,setembro,caatinga,26726.0
2003,10,outubro,caatinga,51233.0
2003,11,novembro,caatinga,70716.0
2003,12,dezembro,caatinga,82048.0
2004,1,janeiro,caatinga,563.0
2004,2,fevereiro,caatinga,572.0
2004,3,março,caatinga,584.0
2004,4,abril,caatinga,591.0
2004,5,maio,caatinga,645.0
2004,6,junho,caatinga,788.0
2004,7,julho,caatinga,1153.0
2004,8,agosto,caatinga,3168.0
2004,9,setembro,caatinga,7346.0
2004,10,outubro,caatinga,14333.0
2004,11,novembro,caatinga,28546.0
2004,12,dezembro,caatinga,41289.0
2005,1,janeiro,caatinga,1638.0
2005,2,fevereiro,caatinga,1723.0
2005,3,março,caatinga,1770.0
2005,4,abril,caatinga,1771.0
2005,5,maio,caatinga,1824.0
2005,6,junho,caatinga,2110.0
2005,7,julho,caatinga,2927.0
2005,8,agosto,caatinga,4827.0
2005,9,setembro,caatinga,11756.0
2005,10,outubro,caatinga,37665.0
2005,11,novembro,caatinga,56780.0
2005,12,dezembro,caatinga,65108.0
2006,1,janeiro,caatinga,542.0
2006,2,fevereiro,caatinga,954.0
2006,3,março,caatinga,1043.0
2006,4,abril,caatinga,1061.0
2006,5,maio,caatinga,1068.0
2006,6,junho,caatinga,1108.0
2006,7,julho,caatinga,1355.0
2006,8,agosto,caatinga,2591.0
2006,9,setembro,caatinga,9597.0
2006,10,outubro,caatinga,19433.0
2006,11,novembro,caatinga,30185.0
2006,12,dezembro,caatinga,39492.0
2007,1,janeiro,caatinga,1152.0
2007,2,fevereiro,caatinga,1168.0
2007,3,março,caatinga,1176.0
2007,4,abril,caatinga,1202.0
2007,5,maio,caatinga,1473.0
2007,6,junho,caatinga,2635.0
2007,7,julho,caatinga,5352.0
2007,8,agosto,caatinga,8449.0
2007,9,setembro,caatinga,17086.0
2007,10,outubro,caatinga,31857.0
2007,11,novembro,caatinga,50291.0
2007,12,dezembro,caatinga,56401.0
2008,1,janeiro,caatinga,487.0
2008,2,fevereiro,caatinga,545.0
2008,3,março,caatinga,585.0
2008,4,abril,caatinga,596.0
2008,5,maio,caatinga,617.0
2008,6,junho,caatinga,698.0
2008,7,julho,caatinga,848.0
2008,8,agosto,caatinga,2177.0
2008,9,setembro,caatinga,6698.0
2008,10,outubro,caatinga,27020.0
2008,11,novembro,caatinga,45282.0
2008,12,dezembro,caatinga,50507.0
2009,1,janeiro,caatinga,588.0
2009,2,fevereiro,caatinga,631.0
2009,3,março,caatinga,956.0
2009,4,abril,caatinga,1023.0
2009,5,maio,caatinga,1041.0
2009,6,junho,caatinga,1118.0
2009,7,julho,caatinga,1489.0
2009,8,agosto,caatinga,2202.0
2009,9,setembro,caatinga,8874.0
2009,10,outubro,caatinga,14631.0
2009,11,novembro,caatinga,25694.0
2009,12,dezembro,caatinga,31809.0
2010,1,janeiro,caatinga,292.0
2010,2,fevereiro,caatinga,416.0
2010,3,março,caatinga,486.0
2010,4,abril,caatinga,506.0
2010,5,maio,caatinga,895.0
2010,6,junho,caatinga,1271.0
2010,7,julho,caatinga,3068.0
2010,8,agosto,caatinga,7217.0
2010,9,setembro,caatinga,18030.0
2010,10,outubro,caatinga,39864.0
2010,11,novembro,caatinga,49758.0
2010,12,dezembro,caatinga,50955.0
2011,1,janeiro,caatinga,22.0
2011,2,fevereiro,caatinga,36.0
2011,3,março,caatinga,49.0
2011,4,abril,caatinga,100.0
2011,5,maio,caatinga,192.0
2011,6,junho,caatinga,882.0
2011,7,julho,caatinga,1440.0
2011,8,agosto,caatinga,3891.0
2011,9,setembro,caatinga,7894.0
2011,10,outubro,caatinga,17386.0
2011,11,novembro,caatinga,22280.0
2011,12,dezembro,caatinga,24691.0
2012,1,janeiro,caatinga,917.0
2012,2,fevereiro,caatinga,956.0
2012,3,março,caatinga,1230.0
2012,4,abril,caatinga,2012.0
2012,5,maio,caatinga,3755.0
2012,6,junho,caatinga,5744.0
2012,7,julho,caatinga,8448.0
2012,8,agosto,caatinga,12288.0
2012,9,setembro,caatinga,19328.0
2012,10,outubro,caatinga,37013.0
2012,11,novembro,caatinga,41508.0
2012,12,dezembro,caatinga,46536.0
2013,1,janeiro,caatinga,313.0
2013,2,fevereiro,caatinga,404.0
2013,3,março,caatinga,589.0
2013,4,abril,caatinga,829.0
2013,5,maio,caatinga,996.0
2013,6,junho,caatinga,1517.0
2013,7,julho,caatinga,2286.0
2013,8,agosto,caatinga,4221.0
2013,9,setembro,caatinga,10909.0
2013,10,outubro,caatinga,18421.0
2013,11,novembro,caatinga,25122.0
2013,12,dezembro,caatinga,28394.0
2014,1,janeiro,caatinga,215.0
2014,2,fevereiro,caatinga,230.0
2014,3,março,caatinga,271.0
2014,4,abril,caatinga,397.0
2014,5,maio,caatinga,606.0
2014,6,junho,caatinga,1363.0
2014,7,julho,caatinga,2719.0
2014,8,agosto,caatinga,4884.0
2014,9,setembro,caatinga,10807.0
2014,10,outubro,caatinga,19000.0
2014,11,novembro,caatinga,25105.0
2014,12,dezembro,caatinga,28059.0
2015,1,janeiro,caatinga,706.0
2015,2,fevereiro,caatinga,765.0
2015,3,março,caatinga,817.0
2015,4,abril,caatinga,1148.0
2015,5,maio,caatinga,1509.0
2015,6,junho,caatinga,2484.0
2015,7,julho,caatinga,3809.0
2015,8,agosto,caatinga,7432.0
2015,9,setembro,caatinga,17229.0
2015,10,outubro,caatinga,28101.0
2015,11,novembro,caatinga,40165.0
2015,12,dezembro,caatinga,47543.0
2016,1,janeiro,caatinga,393.0
2016,2,fevereiro,caatinga,427.0
2016,3,março,caatinga,485.0
2016,4,abril,caatinga,564.0
2016,5,maio,caatinga,898.0
2016,6,junho,caatinga,1501.0
2016,7,julho,caatinga,2929.0
2016,8,agosto,caatinga,5512.0
2016,9,setembro,caatinga,9244.0
2016,10,outubro,caatinga,19549.0
2016,11,novembro,caatinga,30061.0
2016,12,dezembro,caatinga,33309.0
2017,1,janeiro,caatinga,442.0
2017,2,fevereiro,caatinga,468.0
2017,3,março,caatinga,571.0
2017,4,abril,caatinga,652.0
2017,5,maio,caatinga,831.0
2017,6,junho,caatinga,1071.0
2017,7,julho,caatinga,1664.0
2017,8,agosto,caatinga,3312.0
2017,9,setembro,caatinga,6460.0
2017,10,outubro,caatinga,18763.0
2017,11,novembro,caatinga,25319.0
2017,12,dezembro,caatinga,29704.0
2018,1,janeiro,caatinga,637.0
2018,2,fevereiro,caatinga,651.0
2018,3,março,caatinga,704.0
2018,4,abril,caatinga,732.0
2018,5,maio,caatinga,881.0
2018,6,junho,caatinga,1496.0
2018,7,julho,caatinga,2805.0
2018,8,agosto,caatinga,5505.0
2018,9,setembro,caatinga,13121.0
2018,10,outubro,caatinga,18168.0
2018,11,novembro,caatinga,24090.0
2018,12,dezembro,caatinga,25432.0
2019,1,janeiro,caatinga,120.0
2019,2,fevereiro,caatinga,143.0
2019,3,março,caatinga,180.0
2019,4,abril,caatinga,196.0
2019,5,maio,caatinga,448.0
2019,6,junho,caatinga,805.0
2019,7,julho,caatinga,2323.0
2019,8,agosto,caatinga,5720.0
2019,9,setembro,caatinga,12443.0
2019,10,outubro,caatinga,30937.0
2019,11,novembro,caatinga,46795.0
2019,12,dezembro,caatinga,55184.0
2020,1,janeiro,caatinga,434.0
2020,2,fevereiro,caatinga,479.0
2020,3,março,caatinga,487.0
2020,4,abril,caatinga,548.0
2020,5,maio,caatinga,563.0
2020,6,junho,caatinga,642.0
2020,7,julho,caatinga,1170.0
2020,8,agosto,caatinga,2959.0
2020,9,setembro,caatinga,7775.0
2020,10,outubro,caatinga,20894.0
2020,11,novembro,caatinga,26244.0
2020,12,dezembro,caatinga,30453.0
2021,1,janeiro,caatinga,976.0
2021,2,fevereiro,caatinga,1247.0
2021,3,março,caatinga,1412.0
2021,4,abril,caatinga,1559.0
2021,5,maio,caatinga,1927.0
2021,6,junho,caatinga,3394.0
2021,7,julho,caatinga,5378.0
2021,8,agosto,caatinga,8678.0
2021,9,setembro,caatinga,22282.0
2021,10,outubro,caatinga,35004.0
2021,11,novembro,caatinga,47155.0
2021,12,dezembro,caatinga,49869.0
2003,1,janeiro,mata_atlantica,436.0
2003,2,fevereiro,mata_atlantica,543.0
2003,3,março,mata_atlantica,829.0
2003,4,abril,mata_atlantica,1250.0
2003,5,maio,mata_atlantica,4571.0
2003,6,junho,mata_atlantica,9789.0
2003,7,julho,mata_atlantica,17784.0
2003,8,agosto,mata_atlantica,25532.0
2003,9,setembro,mata_atlantica,34787.0
2003,10,outubro,mata_atlantica,40613.0
2003,11,novembro,mata_atlantica,41163.0
2003,12,dezembro,mata_atlantica,41607.0
2004,1,janeiro,mata_atlantica,73.0
2004,2,fevereiro,mata_atlantica,148.0
2004,3,março,mata_atlantica,359.0
2004,4,abril,mata_atlantica,777.0
2004,5,maio,mata_atlantica,899.0
2004,6,junho,mata_atlantica,4062.0
2004,7,julho,mata_atlantica,6107.0
2004,8,agosto,mata_atlantica,10652.0
2004,9,setembro,mata_atlantica,14023.0
2004,10,outubro,mata_atlantica,15191.0
2004,11,novembro,mata_atlantica,15982.0
2004,12,dezembro,mata_atlantica,16397.0
2005,1,janeiro,mata_atlantica,428.0
2005,2,fevereiro,mata_atlantica,572.0
2005,3,março,mata_atlantica,912.0
2005,4,abril,mata_atlantica,1765.0
2005,5,maio,mata_atlantica,4374.0
2005,6,junho,mata_atlantica,6754.0
2005,7,julho,mata_atlantica,9050.0
2005,8,agosto,mata_atlantica,12926.0
2005,9,setembro,mata_atlantica,14298.0
2005,10,outubro,mata_atlantica,19867.0
2005,11,novembro,mata_atlantica,20429.0
2005,12,dezembro,mata_atlantica,20589.0
2006,1,janeiro,mata_atlantica,136.0
2006,2,fevereiro,mata_atlantica,600.0
2006,3,março,mata_atlantica,905.0
2006,4,abril,mata_atlantica,1302.0
2006,5,maio,mata_atlantica,4115.0
2006,6,junho,mata_atlantica,10285.0
2006,7,julho,mata_atlantica,18554.0
2006,8,agosto,mata_atlantica,25876.0
2006,9,setembro,mata_atlantica,28888.0
2006,10,outubro,mata_atlantica,29413.0
2006,11,novembro,mata_atlantica,29805.0
2006,12,dezembro,mata_atlantica,29973.0
2007,1,janeiro,mata_atlantica,91.0
2007,2,fevereiro,mata_atlantica,212.0
2007,3,março,mata_atlantica,509.0
2007,4,abril,mata_atlantica,1037.0
2007,5,maio,mata_atlantica,1825.0
2007,6,junho,mata_atlantica,6403.0
2007,7,julho,mata_atlantica,9992.0
2007,8,agosto,mata_atlantica,13903.0
2007,9,setembro,mata_atlantica,19463.0
2007,10,outubro,mata_atlantica,25393.0
2007,11,novembro,mata_atlantica,28323.0
2007,12,dezembro,mata_atlantica,28523.0
2008,1,janeiro,mata_atlantica,111.0
2008,2,fevereiro,mata_atlantica,270.0
2008,3,março,mata_atlantica,549.0
2008,4,abril,mata_atlantica,753.0
2008,5,maio,mata_atlantica,2614.0
2008,6,junho,mata_atlantica,4265.0
2008,7,julho,mata_atlantica,13295.0
2008,8,agosto,mata_atlantica,15976.0
2008,9,setembro,mata_atlantica,18939.0
2008,10,outubro,mata_atlantica,23157.0
2008,11,novembro,mata_atlantica,24516.0
2008,12,dezembro,mata_atlantica,24967.0
2009,1,janeiro,mata_atlantica,200.0
2009,2,fevereiro,mata_atlantica,335.0
2009,3,março,mata_atlantica,671.0
2009,4,abril,mata_atlantica,1930.0
2009,5,maio,mata_atlantica,3757.0
2009,6,junho,mata_atlantica,5808.0
2009,7,julho,mata_atlantica,7375.0
2009,8,agosto,mata_atlantica,11397.0
2009,9,setembro,mata_atlantica,12301.0
2009,10,outubro,mata_atlantica,13343.0
2009,11,novembro,mata_atlantica,13602.0
2009,12,dezembro,mata_atlantica,13827.0
2010,1,janeiro,mata_atlantica,220.0
2010,2,fevereiro,mata_atlantica,475.0
2010,3,março,mata_atlantica,633.0
2010,4,abril,mata_atlantica,1089.0
2010,5,maio,mata_atlantica,1750.0
2010,6,junho,mata_atlantica,4798.0
2010,7,julho,mata_atlantica,10215.0
2010,8,agosto,mata_atlantica,15242.0
2010,9,setembro,mata_atlantica,20174.0
2010,10,outubro,mata_atlantica,22560.0
2010,11,novembro,mata_atlantica,22865.0
2010,12,dezembro,mata_atlantica,22968.0
2011,1,janeiro,mata_atlantica,41.0
2011,2,fevereiro,mata_atlantica,131.0
2011,3,março,mata_atlantica,229.0
2011,4,abril,mata_atlantica,344.0
2011,5,maio,mata_atlantica,988.0
2011,6,junho,mata_atlantica,2222.0
2011,7,julho,mata_atlantica,9005.0
2011,8,agosto,mata_atlantica,12997.0
2011,9,setembro,mata_atlantica,18192.0
2011,10,outubro,mata_atlantica,19362.0
2011,11,novembro,mata_atlantica,19590.0
2011,12,dezembro,mata_atlantica,19713.0
2012,1,janeiro,mata_atlantica,96.0
2012,2,fevereiro,mata_atlantica,203.0
2012,3,março,mata_atlantica,566.0
2012,4,abril,mata_atlantica,989.0
2012,5,maio,mata_atlantica,2238.0
2012,6,junho,mata_atlantica,3280.0
2012,7,julho,mata_atlantica,4917.0
2012,8,agosto,mata_atlantica,7650.0
2012,9,setembro,mata_atlantica,11191.0
2012,10,outubro,mata_atlantica,14891.0
2012,11,novembro,mata_atlantica,15425.0
2012,12,dezembro,mata_atlantica,15711.0
2013,1,janeiro,mata_atlantica,173.0
