ano,mes,total,total_acumulado
2003,janeiro,6500,6500
2003,fevereiro,2370,8870
2003,março,3958,12828
2003,abril,3431,16259
2003,maio,11297,27556
2003,junho,28632,56188
2003,julho,47379,103567
2003,agosto,75788,179355
2003,setembro,120863,300218
2003,outubro,67745,367963
2003,novembro,33486,401449
2003,dezembro,20913,422362
2004,janeiro,3956,3956
2004,fevereiro,1901,5857
2004,março,2366,8223
2004,abril,2494,10717
2004,maio,10545,21262
2004,junho,28365,49627
2004,julho,40150,89777
2004,agosto,77547,167324
2004,setembro,143967,311291
2004,outubro,50949,362240
2004,novembro,42417,404657
2004,dezembro,28401,433058
2005,janeiro,4288,4288
2005,fevereiro,1498,5786
2005,março,2053,7839
2005,abril,4174,12013
2005,maio,10621,22634
2005,junho,21918,44552
2005,julho,36749,81301
2005,agosto,109927,191228
2005,setembro,115874,307102
2005,outubro,95842,402944
2005,novembro,40259,443203
2005,dezembro,13670,456873
2006,janeiro,2584,2584
2006,fevereiro,1610,4194
2006,março,1637,5831
2006,abril,1993,7824
2006,maio,7256,15080
2006,junho,18727,33807
2006,julho,35527,69334
2006,agosto,72301,141635
2006,setembro,85551,227186
2006,outubro,29248,256434
2006,novembro,22522,278956
2006,dezembro,15222,294178
2007,janeiro,4176,4176
2007,fevereiro,3540,7716
2007,março,2994,10710
2007,abril,2617,13327
2007,maio,10565,23892
2007,junho,28260,52152
2007,julho,51519,103671
2007,agosto,120412,224083
2007,setembro,204490,428573
2007,outubro,103065,531638
2007,novembro,47706,579344
2007,dezembro,9043,588387
2008,janeiro,2242,2242
2008,fevereiro,1074,3316
2008,março,1419,4735
2008,abril,1525,6260
2008,maio,5240,11500
2008,junho,11512,23012
2008,julho,28760,51772
2008,agosto,48675,100447
2008,setembro,69605,170052
2008,outubro,83176,253228
2008,novembro,37729,290957
2008,dezembro,11372,302329
2009,janeiro,2113,2113
2009,fevereiro,1516,3629
2009,março,1845,5474
2009,abril,3487,8961
2009,maio,9024,17985
2009,junho,9900,27885
2009,julho,18021,45906
2009,agosto,31285,77191
2009,setembro,46044,123235
2009,outubro,27514,150749
2009,novembro,30187,180936
2009,dezembro,12078,193014
2010,janeiro,2096,2096
2010,fevereiro,2045,4141
2010,março,1400,5541
2010,abril,3918,9459
2010,maio,11740,21199
2010,junho,26381,47580
2010,julho,54631,102211
2010,agosto,132724,234935
2010,setembro,185502,420437
2010,outubro,66904,487341
2010,novembro,17294,504635
2010,dezembro,5481,510116
2011,janeiro,291,291
2011,fevereiro,1137,1428
2011,março,388,1816
2011,abril,1603,3419
2011,maio,5232,8651
2011,junho,12644,21295
2011,julho,25848,47143
2011,agosto,45912,93055
2011,setembro,85896,178951
2011,outubro,27497,206448
2011,novembro,10562,217010
2011,dezembro,10740,227750
2012,janeiro,3784,3784
2012,fevereiro,916,4700
2012,março,1915,6615
2012,abril,3239,9854
2012,maio,11132,20986
2012,junho,20235,41221
2012,julho,33372,74593
2012,agosto,85997,160590
2012,setembro,118244,278834
2012,outubro,83981,362815
2012,novembro,19513,382328
2012,dezembro,9472,391800
2013,janeiro,4774,4774
2013,fevereiro,953,5727
2013,março,1780,7507
2013,abril,1422,8929
2013,maio,6381,15310
2013,junho,10772,26082
2013,julho,18437,44519
2013,agosto,37007,81526
2013,setembro,61807,143333
2013,outubro,30061,173394
2013,novembro,13051,186445
2013,dezembro,7136,193581
2014,janeiro,3073,3073
2014,fevereiro,1376,4449
2014,março,1422,5871
2014,abril,1695,7566
2014,maio,5461,13027
2014,junho,14576,27603
2014,julho,24994,52597
2014,agosto,66020,118617
2014,setembro,69212,187829
2014,outubro,62580,250409
2014,novembro,17955,268364
2014,dezembro,9050,277414
2015,janeiro,3940,3940
2015,fevereiro,1898,5838
2015,março,1001,6839
2015,abril,2094,8933
2015,maio,4330,13263
2015,junho,12594,25857
2015,julho,18698,44555
2015,agosto,54741,99296
2015,setembro,95934,195230
2015,outubro,85339,280569
2015,novembro,44029,324598
2015,dezembro,29928,354526
2016,janeiro,6743,6743
2016,fevereiro,1800,8543
2016,março,4078,12621
2016,abril,4769,17390
2016,maio,9161,26551
2016,junho,17141,43692
2016,julho,36009,79701
2016,agosto,63824,143525
2016,setembro,65809,209334
2016,outubro,39653,248987
2016,novembro,24680,273667
2016,dezembro,7303,280970
2017,janeiro,1825,1825
2017,fevereiro,901,2726
2017,março,1011,3737
2017,abril,1538,5275
2017,maio,5208,10483
2017,junho,9518,20001
2017,julho,22842,42843
2017,agosto,53465,96308
2017,setembro,110810,207118
2017,outubro,63028,270146
2017,novembro,22125,292271
2017,dezembro,14722,306993
2018,janeiro,3028,3028
2018,fevereiro,1380,4408
2018,março,2443,6851
2018,abril,1643,8494
2018,maio,5934,14428
2018,junho,11437,25865
2018,julho,20351,46216
2018,agosto,30298,76514
2018,setembro,57463,133977
2018,outubro,21450,155427
2018,novembro,12058,167485
2018,dezembro,3496,170981
2019,janeiro,4416,4416
2019,fevereiro,2780,7196
2019,março,6183,13379
2019,abril,3061,16440
2019,maio,5112,21552
2019,junho,12697,34249
2019,julho,23578,57827
2019,agosto,73500,131327
2019,setembro,92930,224257
2019,outubro,50140,274397
2019,novembro,30131,304528
2019,dezembro,12951,317479
2020,janeiro,3164,3164
2020,fevereiro,3421,6585
2020,março,3838,10423
2020,abril,13385,23808
2020,maio,5059,28867
2020,junho,12948,41815
2020,julho,20591,62406
2020,agosto,58912,121318
2020,setembro,105167,226485
2020,outubro,67429,293914
2020,novembro,11763,305677
2020,dezembro,6463,312140
2021,janeiro,1671,1671
2021,fevereiro,1210,2881
2021,março,1710,4591
2021,abril,2258,6849
2021,maio,9630,16479
2021,junho,15705,32184
2021,julho,26864,59048
2021,agosto,61931,120979
2021,setembro,96260,217239
2021,outubro,37579,254818
2021,novembro,15357,270175
2021,dezembro,4233,274408
