ano,mes,mes_nome,amazonia,amazonia_acumulado,caatinga,caatinga_acumulado,cerrado,cerrado_acumulado,mata_atlantica,mata_atlantica_acumulado,pampa,pampa_acumulado,pantanal,pantanal_acumulado,total
2003,1,janeiro,3528,3528,2206,2206,157,157,436,436,1.0,1.0,172.0,172.0,6500
2003,2,fevereiro,1960,5488,56,2262,214,371,107,543,3.0,4.0,30.0,202.0,2370
2003,3,março,3295,8783,80,2342,258,629,286,829,1.0,5.0,38.0,240.0,3958
2003,4,abril,1179,9962,440,2782,1322,1951,421,1250,13.0,18.0,56.0,296.0,3431
2003,5,maio,2033,11995,248,3030,5200,7151,3321,4571,316.0,334.0,179.0,475.0,11297
2003,6,junho,5810,17805,401,3431,16779,23930,5218,9789,164.0,498.0,260.0,735.0,28632
2003,7,julho,10625,28430,957,4388,25598,49528,7995,17784,1504.0,2002.0,700.0,1435.0,47379
2003,8,agosto,25943,54373,4978,9366,35140,84668,7748,25532,383.0,2385.0,1596.0,3031.0,75788
2003,9,setembro,28643,83016,17360,26726,62250,146918,9255,34787,86.0,2471.0,3269.0,6300.0,120863
2003,10,outubro,11775,94791,24507,51233,24521,171439,5826,40613,6.0,2477.0,1110.0,7410.0,67745
2003,11,novembro,10518,105309,19483,70716,2461,173900,550,41163,6.0,2483.0,468.0,7878.0,33486
2003,12,dezembro,7858,113167,11332,82048,1240,175140,444,41607,5.0,2488.0,34.0,7912.0,20913
2004,1,janeiro,2872,2872,563,563,180,180,73,73,13.0,13.0,255.0,255.0,3956
2004,2,fevereiro,1553,4425,9,572,89,269,75,148,10.0,23.0,165.0,420.0,1901
2004,3,março,1309,5734,12,584,649,918,211,359,55.0,78.0,130.0,550.0,2366
2004,4,abril,697,6431,7,591,1008,1926,418,777,281.0,359.0,83.0,633.0,2494
2004,5,maio,3275,9706,54,645,6963,8889,122,899,84.0,443.0,47.0,680.0,10545
2004,6,junho,7665,17371,143,788,16368,25257,3163,4062,553.0,996.0,473.0,1153.0,28365
2004,7,julho,13245,30616,365,1153,23581,48838,2045,6107,349.0,1345.0,565.0,1718.0,40150
2004,8,agosto,30179,60795,2015,3168,38255,87093,4545,10652,155.0,1500.0,2398.0,4116.0,77547
2004,9,setembro,46587,107382,4178,7346,79405,166498,3371,14023,18.0,1518.0,10408.0,14524.0,143967
2004,10,outubro,16148,123530,6987,14333,23572,190070,1168,15191,51.0,1569.0,3023.0,17547.0,50949
2004,11,novembro,20035,143565,14213,28546,7056,197126,791,15982,10.0,1579.0,312.0,17859.0,42417
2004,12,dezembro,13442,157007,12743,41289,1558,198684,415,16397,10.0,1589.0,233.0,18092.0,28401
2005,1,janeiro,2023,2023,1638,1638,177,177,428,428,20.0,20.0,2.0,2.0,4288
2005,2,fevereiro,855,2878,85,1723,331,508,144,572,13.0,33.0,70.0,72.0,1498
2005,3,março,806,3684,47,1770,401,909,340,912,362.0,395.0,97.0,169.0,2053
2005,4,abril,1381,5065,1,1771,1662,2571,853,1765,32.0,427.0,245.0,414.0,4174
2005,5,maio,2162,7227,53,1824,5009,7580,2609,4374,72.0,499.0,716.0,1130.0,10621
2005,6,junho,3761,10988,286,2110,11483,19063,2380,6754,320.0,819.0,3688.0,4818.0,21918
2005,7,julho,12504,23492,817,2927,18052,37115,2296,9050,194.0,1013.0,2886.0,7704.0,36749
2005,8,agosto,50315,73807,1900,4827,41231,78346,3876,12926,90.0,1103.0,12515.0,20219.0,109927
2005,9,setembro,51457,125264,6929,11756,50466,128812,1372,14298,17.0,1120.0,5633.0,25852.0,115874
2005,10,outubro,16893,142157,25909,37665,46086,174898,5569,19867,8.0,1128.0,1377.0,27229.0,95842
2005,11,novembro,14495,156652,19115,56780,5870,180768,562,20429,13.0,1141.0,204.0,27433.0,40259
2005,12,dezembro,4206,160858,8328,65108,922,181690,160,20589,15.0,1156.0,39.0,27472.0,13670
2006,1,janeiro,1261,1261,542,542,619,619,136,136,21.0,21.0,5.0,5.0,2584
2006,2,fevereiro,535,1796,412,954,144,763,464,600,19.0,40.0,36.0,41.0,1610
2006,3,março,826,2622,89,1043,322,1085,305,905,78.0,118.0,17.0,58.0,1637
2006,4,abril,868,3490,18,1061,603,1688,397,1302,99.0,217.0,8.0,66.0,1993
2006,5,maio,1055,4545,7,1068,2862,4550,2813,4115,435.0,652.0,84.0,150.0,7256
2006,6,junho,2206,6751,40,1108,9573,14123,6170,10285,235.0,887.0,503.0,653.0,18727
