ano,mes,mes_nome,bioma,total,total_acumulado
2003,1.0,janeiro,amazonia,3528.0,3528.0
2003,2.0,fevereiro,amazonia,1960.0,5488.0
2003,3.0,março,amazonia,3295.0,8783.0
2003,4.0,abril,amazonia,1179.0,9962.0
2003,5.0,maio,amazonia,2033.0,11995.0
2003,6.0,junho,amazonia,5810.0,17805.0
2003,7.0,julho,amazonia,10625.0,28430.0
2003,8.0,agosto,amazonia,25943.0,54373.0
2003,9.0,setembro,amazonia,28643.0,83016.0
2003,10.0,outubro,amazonia,11775.0,94791.0
2003,11.0,novembro,amazonia,10518.0,105309.0
2003,12.0,dezembro,amazonia,7858.0,113167.0
2004,1.0,janeiro,amazonia,2872.0,2872.0
2004,2.0,fevereiro,amazonia,1553.0,4425.0
2004,3.0,março,amazonia,1309.0,5734.0
2004,4.0,abril,amazonia,697.0,6431.0
2004,5.0,maio,amazonia,3275.0,9706.0
2004,6.0,junho,amazonia,7665.0,17371.0
2004,7.0,julho,amazonia,13245.0,30616.0
2004,8.0,agosto,amazonia,30179.0,60795.0
2004,9.0,setembro,amazonia,46587.0,107382.0
2004,10.0,outubro,amazonia,16148.0,123530.0
2004,11.0,novembro,amazonia,20035.0,143565.0
2004,12.0,dezembro,amazonia,13442.0,157007.0
2005,1.0,janeiro,amazonia,2023.0,2023.0
2005,2.0,fevereiro,amazonia,855.0,2878.0
2005,3.0,março,amazonia,806.0,3684.0
2005,4.0,abril,amazonia,1381.0,5065.0
2005,5.0,maio,amazonia,2162.0,7227.0
2005,6.0,junho,amazonia,3761.0,10988.0
2005,7.0,julho,amazonia,12504.0,23492.0
2005,8.0,agosto,amazonia,50315.0,73807.0
2005,9.0,setembro,amazonia,51457.0,125264.0
2005,10.0,outubro,amazonia,16893.0,142157.0
2005,11.0,novembro,amazonia,14495.0,156652.0
2005,12.0,dezembro,amazonia,4206.0,160858.0
2006,1.0,janeiro,amazonia,1261.0,1261.0
2006,2.0,fevereiro,amazonia,535.0,1796.0
2006,3.0,março,amazonia,826.0,2622.0
2006,4.0,abril,amazonia,868.0,3490.0
2006,5.0,maio,amazonia,1055.0,4545.0
2006,6.0,junho,amazonia,2206.0,6751.0
2006,7.0,julho,amazonia,5201.0,11952.0
2006,8.0,agosto,amazonia,25061.0,37013.0
2006,9.0,setembro,amazonia,37450.0,74463.0
2006,10.0,outubro,amazonia,9673.0,84136.0
2006,11.0,novembro,amazonia,8229.0,92365.0
2006,12.0,dezembro,amazonia,4951.0,97316.0
2007,1.0,janeiro,amazonia,2692.0,2692.0
2007,2.0,fevereiro,amazonia,3277.0,5969.0
2007,3.0,março,amazonia,1765.0,7734.0
2007,4.0,abril,amazonia,432.0,8166.0
2007,5.0,maio,amazonia,1329.0,9495.0
2007,6.0,junho,amazonia,2866.0,12361.0
2007,7.0,julho,amazonia,5238.0,17599.0
2007,8.0,agosto,amazonia,37397.0,54996.0
2007,9.0,setembro,amazonia,60887.0,115883.0
2007,10.0,outubro,amazonia,22883.0,138766.0
2007,11.0,novembro,amazonia,14022.0,152788.0
2007,12.0,dezembro,amazonia,1799.0,154587.0
2008,1.0,janeiro,amazonia,1410.0,1410.0
2008,2.0,fevereiro,amazonia,721.0,2131.0
2008,3.0,março,amazonia,798.0,2929.0
2008,4.0,abril,amazonia,638.0,3567.0
2008,5.0,maio,amazonia,508.0,4075.0
2008,6.0,junho,amazonia,1693.0,5768.0
2008,7.0,julho,amazonia,4507.0,10275.0
2008,8.0,agosto,amazonia,17498.0,27773.0
2008,9.0,setembro,amazonia,18347.0,46120.0
2008,10.0,outubro,amazonia,15520.0,61640.0
2008,11.0,novembro,amazonia,9499.0,71139.0
2008,12.0,dezembro,amazonia,3553.0,74692.0
2009,1.0,janeiro,amazonia,412.0,412.0
2009,2.0,fevereiro,amazonia,991.0,1403.0
2009,3.0,março,amazonia,765.0,2168.0
2009,4.0,abril,amazonia,512.0,2680.0
2009,5.0,maio,amazonia,1870.0,4550.0
2009,6.0,junho,amazonia,1689.0,6239.0
2009,7.0,julho,amazonia,2264.0,8503.0
2009,8.0,agosto,amazonia,5620.0,14123.0
2009,9.0,setembro,amazonia,10748.0,24871.0
2009,10.0,outubro,amazonia,12340.0,37211.0
2009,11.0,novembro,amazonia,14669.0,51880.0
2009,12.0,dezembro,amazonia,5131.0,57011.0
2010,1.0,janeiro,amazonia,1358.0,1358.0
2010,2.0,fevereiro,amazonia,1295.0,2653.0
2010,3.0,março,amazonia,643.0,3296.0
2010,4.0,abril,amazonia,659.0,3955.0
2010,5.0,maio,amazonia,1782.0,5737.0
2010,6.0,junho,amazonia,2305.0,8042.0
2010,7.0,julho,amazonia,5467.0,13509.0
2010,8.0,agosto,amazonia,43187.0,56696.0
2010,9.0,setembro,amazonia,39324.0,96020.0
2010,10.0,outubro,amazonia,10948.0,106968.0
2010,11.0,novembro,amazonia,4072.0,111040.0
2010,12.0,dezembro,amazonia,1774.0,112814.0
2011,1.0,janeiro,amazonia,68.0,68.0
2011,2.0,fevereiro,amazonia,928.0,996.0
2011,3.0,março,amazonia,97.0,1093.0
2011,4.0,abril,amazonia,484.0,1577.0
